Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,head_pitch_joint_dof,head_yaw_joint_dof,telescopic_lift_joint_dof,right_joint1_dof,right_joint2_dof,right_joint3_dof,right_joint4_dof,right_joint5_dof,right_joint6_dof,right_joint7_dof,right_gripper_joint1_dof,right_gripper_joint2_dof,left_joint1_dof,left_joint2_dof,left_joint3_dof,left_joint4_dof,left_joint5_dof,left_joint6_dof,left_joint7_dof,left_gripper_joint1_dof,left_gripper_joint2_dof
20,3.565324068069458,3.1603634357452393,94.19447326660156,2.973075656791993,-30.781199208885003,-83.037305048836,9.129176,-8.763827,29.439705,0.0,0.0,76.97168329811096,28.881628,26.62983,98.33799,51.060154,-95.22998,0.31875733,-0.8873131,0.0,0.0,8.600578,71.96089,-81.409775,25.43693,-59.465824,1.8260775,0.16936459,0.0,0.0
21,3.391786575317383,3.4239609241485596,94.25499725341797,2.9780440218453665,-30.20637292937652,-82.84966499486083,9.677975,-8.973351,29.215288,0.0,0.0,77.02674606895447,34.74834,25.62669,93.88945,54.867184,-97.03636,0.33078653,-0.9961247,0.0,0.0,8.69337,71.83626,-83.4558,25.830198,-57.225754,1.8347714,0.17593117,0.0,0.0
22,3.218109607696533,3.6835317611694336,94.2588882446289,2.8824738873703097,-29.81792272902703,-82.55837056494848,9.974005,-9.228073,29.112465,0.0,0.0,77.02086905097961,39.949814,25.347288,89.9212,59.027065,-99.99219,0.33598348,-1.1251922,0.0,0.0,8.686816,71.65684,-85.53259,25.915096,-55.580555,1.8362106,0.15576336,0.0,0.0
23,3.006161689758301,3.909087896347046,94.20771026611328,2.478158711293389,-29.44934311891641,-82.05957437607788,9.99431,-9.2317915,28.96796,0.0,0.0,76.97942594146728,44.160843,25.335886,86.8717,63.490128,-103.54221,0.31849444,-1.2294968,0.0,0.0,8.599168,71.5063,-86.87192,25.95413,-54.60537,1.8079777,0.10811169,0.0,0.0
24,2.808208703994751,4.048685073852539,94.28814697265625,2.035830906100679,-28.787877428340952,-81.69568337658801,10.209997,-9.015524,28.471386,0.0,0.0,77.05682257270813,47.19009,25.336588,84.947105,68.176506,-107.45448,0.3236407,-1.3245432,0.0,0.0,8.3286295,71.4646,-87.55524,26.274334,-53.619,1.7813984,0.0833272,0.0,0.0
25,2.611121654510498,4.1371893882751465,94.2830810546875,1.7233246698091762,-27.96350282813281,-81.07175006949205,10.420914,-9.063809,27.476892,0.0,0.0,77.05120781517029,49.09158,25.450178,83.487564,71.34167,-110.01172,0.355964,-1.4291024,0.0,0.0,8.362587,71.3401,-87.75835,26.463997,-53.192657,1.8132613,0.07911606,0.0,0.0
26,2.4760208129882812,4.124011039733887,94.28881072998047,1.3780036502447055,-27.29558458380108,-80.44895451689041,10.506132,-9.088067,26.46195,0.0,0.0,77.05485561943054,51.112064,25.617014,81.747734,74.03495,-114.736595,0.4408701,-1.5171604,0.0,0.0,8.622479,71.20798,-88.105934,26.453524,-52.711697,1.8384004,0.064075045,0.0,0.0
27,2.3813846111297607,4.09661340713501,94.23652648925781,1.0572716509744782,-26.660243083488965,-79.82455153971728,10.489514,-9.005367,25.434261,0.0,0.0,77.01281646347046,53.20993,25.491514,79.78917,76.77859,-118.90823,0.51372355,-1.5536433,0.0,0.0,8.978095,71.082924,-88.24466,26.469286,-52.49026,1.8278261,0.043389104,0.0,0.0
28,2.3057639598846436,4.10009765625,94.32102966308594,0.7488147013889234,-25.699160667483753,-80.06108040103823,10.930113,-8.4931965,23.91572,0.0,0.0,77.11660603141785,55.704857,25.352633,77.48576,79.67522,-122.32127,0.5780397,-1.5616807,0.0,0.0,9.341647,71.27018,-88.24234,26.62591,-52.30205,1.82684,0.038198616,0.0,0.0
29,2.1885077953338623,4.1495232582092285,94.32777404785156,0.7709521155712634,-25.080402366204478,-80.0228732341004,11.091408,-8.403595,22.79085,0.0,0.0,77.12216118431091,58.65269,25.659012,74.66615,81.66992,-125.560646,0.6519897,-1.5758202,0.0,0.0,9.907946,71.25509,-88.01333,27.037144,-52.38351,1.8365977,0.03798116,0.0,0.0
30,2.1187117099761963,4.193289756774902,94.35870361328125,0.8411142467474337,-24.666079164790744,-80.00805480189163,11.124772,-8.421915,21.897127,0.0,0.0,77.14540699577331,61.631596,26.172695,71.745445,83.83698,-128.75505,0.72994655,-1.5683461,0.0,0.0,10.5805025,71.283035,-87.9517,27.356453,-52.872673,1.836652,0.03520629,0.0,0.0
31,2.0888867378234863,4.268247127532959,94.38784790039062,0.7711597437023132,-24.249808865450095,-79.91766025667137,10.970462,-8.264243,21.083298,0.0,0.0,77.18169430351257,65.136284,26.536783,68.38093,86.12249,-131.5438,0.7949854,-1.5302753,0.0,0.0,11.206794,71.35184,-87.72657,27.751768,-53.603012,1.8022977,0.02447672,0.0,0.0
32,2.0511467456817627,4.39109992980957,94.42557525634766,0.5400719100558186,-23.568632674063487,-80.42758132821207,11.147788,-7.7360544,20.02377,0.0,0.0,77.24069694137573,68.85758,27.000793,64.97366,88.48763,-133.68507,0.84826577,-1.5074629,0.0,0.0,11.641271,71.623795,-87.56183,28.031511,-53.702473,1.7824605,0.032082632,0.0,0.0
33,1.9804693460464478,4.609131336212158,94.3935775756836,0.46620390379133686,-23.023698940903895,-80.27364118066573,10.816909,-7.6647344,19.137411,0.0,0.0,77.22261289215088,72.35993,27.816198,61.419796,89.71984,-135.90532,0.9186921,-1.5118456,0.0,0.0,11.9546995,71.69193,-87.24654,28.18239,-53.433445,1.7830143,0.0357433,0.0,0.0
34,1.949937105178833,4.878974914550781,94.41041564941406,0.587387850767666,-22.633696567863726,-80.15617481234362,10.481413,-7.846874,18.58908,0.0,0.0,77.24202016448974,75.414764,28.748463,58.364796,91.030426,-138.39485,0.98977,-1.4867395,0.0,0.0,12.156485,71.684586,-87.27135,28.450943,-53.490215,1.7667811,0.028901286,0.0,0.0
35,1.960814356803894,5.220881938934326,94.44692993164062,0.5874348884883525,-22.224490469772263,-79.98195139164602,10.047749,-7.85819,18.172092,0.0,0.0,77.29439476585388,78.612526,29.539635,55.477554,92.37826,-140.7056,1.0399452,-1.4299579,0.0,0.0,12.199786,71.71794,-87.25368,29.049036,-53.96209,1.7210734,0.012715596,0.0,0.0
36,1.9649684429168701,5.606591701507568,94.51212310791016,0.37869730892909137,-22.02954302849187,-80.18601301480078,10.043524,-7.3901696,18.099712,0.0,0.0,77.3635719165802,81.61086,30.226492,53.036816,93.69931,-142.5931,1.0700142,-1.3762336,0.0,0.0,11.912959,71.87479,-86.98382,29.731323,-54.18594,1.6785485,0.011892081,0.0,0.0
37,1.9669041633605957,6.055644512176514,94.48294067382812,0.3547173730253358,-21.808350715780417,-80.02927047860872,9.834659,-7.3290076,18.211994,0.0,0.0,77.33945587730408,84.29271,31.021786,51.07578,93.71959,-144.19493,1.1163293,-1.3541718,0.0,0.0,11.4212475,71.87981,-86.68339,30.27822,-54.21235,1.6773952,0.017443862,0.0,0.0
38,2.0363354682922363,6.546575546264648,94.49956512451172,0.5115936697867906,-21.515729570562126,-79.90396749766514,9.736433,-7.538324,18.338743,0.0,0.0,77.36388782119751,86.40679,31.797182,49.77063,93.77189,-145.72932,1.1503569,-1.3141533,0.0,0.0,10.883442,71.91512,-86.80498,30.64811,-54.305443,1.6806623,0.0061991913,0.0,0.0
39,2.1561079025268555,7.066836833953857,94.53665161132812,0.5395428847386808,-20.9509449170403,-79.74621839993216,9.514668,-7.676316,18.107946,0.0,0.0,77.43136027908325,88.7443,32.704033,48.272083,93.879524,-146.94289,1.1658,-1.2594401,0.0,0.0,10.388463,72.00057,-86.86801,30.901472,-54.49185,1.6696082,-0.020833237,0.0,0.0
40,2.1843247413635254,7.2036309242248535,94.74427795410156,0.5607315107050742,-21.05161257763345,-81.35881155603226,11.423417,-6.7632546,18.658497,0.0,0.0,77.68450716590883,92.262115,33.474014,44.806515,92.96003,-148.23703,1.1515025,-1.315788,0.0,0.0,9.404934,72.38104,-88.35342,30.381674,-54.486183,1.7161267,0.004297338,0.0,0.0
41,2.051234006881714,7.199247360229492,94.90380859375,0.3778504052048983,-20.648614401533404,-81.97245320464633,11.34285,-6.5866218,18.24195,0.0,0.0,77.88928488349916,93.483,33.960114,43.187912,93.26867,-148.61755,1.0931406,-1.3222443,0.0,0.0,9.616522,72.718956,-88.453445,29.520233,-54.43052,1.7111108,0.052650806,0.0,0.0
42,1.8976049423217773,7.117094039916992,95.0084228515625,0.09001862137589914,-20.243821254652364,-81.95124728544772,11.059999,-6.471311,17.966171,0.0,0.0,78.03645471191408,93.80992,34.21062,43.077072,93.95623,-149.01749,1.1183474,-1.3113728,0.0,0.0,9.73952,72.84144,-88.03288,29.417107,-54.43699,1.6896797,0.0045490703,0.0,0.0
43,1.7240017652511597,7.007286548614502,95.07807922363281,-0.16372572256349416,-19.866796151519157,-81.7278102400605,10.786269,-6.459162,17.663221,0.0,0.0,78.12918761825563,93.67465,34.324905,43.57973,95.3572,-149.68639,1.2043456,-1.3002453,0.0,0.0,9.643407,72.50807,-87.4275,29.441523,-54.66427,1.6983423,-0.11464685,0.0,0.0
44,1.506505012512207,6.875663757324219,95.05479431152344,-0.36100379284900774,-19.48642019851086,-81.22821685602597,10.662593,-6.787834,17.134941,0.0,0.0,78.12899092292787,92.28987,33.591145,45.10565,97.00719,-152.31131,1.2319354,-1.2888366,0.0,0.0,9.469598,72.45384,-85.86169,28.987707,-55.49317,1.7485871,-0.14062504,0.0,0.0
45,1.3457200527191162,6.655013561248779,95.01791381835938,-0.37635689592906285,-19.313005101895424,-80.9552207342311,10.824384,-6.959498,17.012823,0.0,0.0,78.09791902160646,92.07602,32.586258,45.623764,97.83557,-152.95204,1.1974448,-1.2885814,0.0,0.0,9.255668,72.54271,-85.07652,28.956503,-55.40541,1.7369355,-0.06401551,0.0,0.0
46,1.2533618211746216,6.358817100524902,94.96033477783203,-0.353089014390144,-19.363719420691538,-80.5642910439766,10.896542,-7.074995,17.174648,0.0,0.0,78.03636530494691,92.117676,31.90978,45.97951,98.29116,-153.42296,1.1988373,-1.285813,0.0,0.0,9.038763,72.57397,-84.83312,29.144037,-55.451008,1.7312486,-0.04120992,0.0,0.0
47,1.238468050956726,6.011094570159912,94.93085479736328,-0.2980358584105746,-19.52556924709889,-80.24282090210392,10.969725,-7.219829,17.300682,0.0,0.0,77.99771169281007,91.546486,31.415173,47.012405,99.01969,-154.08958,1.231027,-1.2723323,0.0,0.0,8.83926,72.54185,-84.77637,29.175722,-56.184376,1.7595416,-0.0784474,0.0,0.0
48,1.2380223274230957,5.644168376922607,94.85406494140625,-0.15994715314357108,-19.376535719641453,-80.33964857015107,11.002266,-7.666003,16.870787,0.0,0.0,77.92456487274171,90.23644,31.289894,48.356754,99.704094,-153.80846,1.2098111,-1.288803,0.0,0.0,9.013025,72.52821,-84.887344,29.045218,-56.129448,1.79985,-0.101077124,0.0,0.0
49,1.2644449472427368,5.31097412109375,94.7994613647461,-0.05440083197925475,-19.141506338980598,-80.38922572824268,11.05005,-7.8834405,16.391376,0.0,0.0,77.88098791694642,89.12085,30.794897,49.35915,100.39789,-152.9331,1.1588672,-1.3005658,0.0,0.0,9.041967,72.62376,-84.48913,28.893808,-55.642918,1.7920288,-0.06419093,0.0,0.0
50,1.3771477937698364,4.925585746765137,94.72850799560547,0.15945564202339452,-19.18428434143544,-80.31977807214984,10.9820795,-8.163176,16.3379,0.0,0.0,77.81075576400758,88.30466,30.589773,50.149326,100.93544,-152.55537,1.1306002,-1.3111697,0.0,0.0,9.010447,72.64147,-84.348656,28.733013,-55.508167,1.7913594,-0.054256324,0.0,0.0
51,1.539504051208496,4.526793956756592,94.68994903564453,0.3921487071972517,-19.354568446301453,-80.29787105658501,10.981285,-8.374413,16.392374,0.0,0.0,77.77141073799135,87.57873,30.483173,50.87224,101.44222,-152.983,1.1378171,-1.314286,0.0,0.0,8.950011,72.72815,-84.58651,28.529867,-55.79229,1.8169087,-0.068632215,0.0,0.0
52,1.7081756591796875,4.120333671569824,94.61747741699219,0.6434886781558327,-19.424495848121673,-80.55059094905518,10.989664,-8.564066,16.084526,0.0,0.0,77.71460155105592,86.58815,30.566277,51.30147,101.896904,-152.59875,1.092535,-1.3621426,0.0,0.0,9.2346525,72.93346,-85.34404,28.460396,-55.687084,1.8479588,-0.07694715,0.0,0.0
53,1.8330564498901367,3.7646636962890625,94.60108184814453,0.7918215180940579,-19.39991882207757,-80.77131826540817,11.053608,-8.574939,15.76399,0.0,0.0,77.70588139152528,85.45592,30.455252,51.43654,102.320625,-151.82803,1.0446821,-1.4126726,0.0,0.0,9.51407,73.02333,-85.56933,28.481028,-55.40214,1.8440137,-0.059789166,0.0,0.0
54,1.9749559164047241,3.408426523208618,94.57755279541016,0.9480806439111084,-19.613671434313204,-80.80669501403185,10.9352865,-8.501849,15.845078,0.0,0.0,77.68213490104677,84.63022,30.731339,51.758266,102.66645,-151.58163,1.0168205,-1.4475583,0.0,0.0,9.660241,73.08654,-85.64189,28.588001,-55.593155,1.8282292,-0.06593603,0.0,0.0
55,2.114839553833008,3.1382851600646973,94.60336303710938,1.1165109133848088,-19.80036895939588,-80.86697459160902,10.910601,-8.328238,15.992886,0.0,0.0,77.70793775177003,83.96,31.122011,52.401573,103.066185,-152.28532,1.01923,-1.4495444,0.0,0.0,9.708498,73.15501,-85.4745,28.739666,-56.177475,1.8121767,-0.08907685,0.0,0.0
56,2.2385406494140625,2.9638044834136963,94.51658630371094,1.032019030871163,-20.091098595646812,-80.740786192349,11.052744,-7.8445187,16.200464,0.0,0.0,77.62209514236451,82.98432,30.958591,53.27766,103.891594,-152.7227,0.99230415,-1.4263784,0.0,0.0,9.64035,73.3352,-85.047935,28.54173,-55.90136,1.8024343,-0.09418568,0.0,0.0
57,2.2670328617095947,2.918287992477417,94.61148834228516,1.47793348220563,-20.250836168714695,-81.02499512894494,11.371127,-7.7618136,16.51084,0.0,0.0,77.70314553833009,82.79133,31.066113,53.42577,103.92998,-152.72377,0.9877864,-1.4203564,0.0,0.0,9.733016,73.51858,-84.97574,28.473087,-55.869793,1.7954046,-0.05835229,0.0,0.0
58,2.2508769035339355,2.955040454864502,94.77147674560547,2.059586659045614,-20.53870690987772,-81.28373252924368,11.792986,-7.861088,17.262484,0.0,0.0,77.83732751464845,82.88246,31.204073,53.747047,103.83347,-152.76964,0.99405396,-1.4185306,0.0,0.0,9.639279,73.466156,-85.047104,28.467882,-55.96367,1.7946002,-0.049442567,0.0,0.0
59,2.198817014694214,3.083156108856201,94.95113372802734,2.5442713558337786,-20.84065517038979,-81.40042654412473,11.999469,-8.047025,18.305988,0.0,0.0,78.01011541938783,83.47255,31.321703,53.961983,103.98253,-153.54681,1.0138595,-1.405593,0.0,0.0,9.503689,73.30152,-84.94303,28.466084,-57.81783,1.815392,-0.071881294,0.0,0.0
60,2.08579421043396,3.2664313316345215,94.98389434814453,2.2290305458184636,-20.728340289891626,-81.69912303605454,11.781421,-7.604153,18.24297,0.0,0.0,78.06394437408449,84.38139,32.12689,53.104267,104.07071,-153.53644,0.9782125,-1.4226694,0.0,0.0,10.046862,73.30154,-84.964485,28.613289,-59.35339,1.8054736,-0.12964591,0.0,0.0
61,1.8679383993148804,3.4116222858428955,94.99992370605469,1.983969369954212,-20.476133009902796,-81.70691584304848,11.715232,-7.292331,18.386024,0.0,0.0,78.07397583580018,84.91395,32.20588,52.9798,103.63243,-153.6242,0.972605,-1.433985,0.0,0.0,10.074594,73.07295,-84.85827,28.774475,-59.37778,1.7488644,-0.12365322,0.0,0.0
62,1.6676671504974365,3.546579122543335,94.94701385498047,1.6628493975344742,-20.60426554932861,-81.65629409777044,11.458692,-6.773625,18.972958,0.0,0.0,78.0024025783539,86.537735,32.437782,51.73375,102.92905,-155.08522,1.0161167,-1.421967,0.0,0.0,9.942301,72.72942,-84.20494,28.821314,-59.331398,1.7146302,-0.09955936,0.0,0.0
63,1.4876482486724854,3.6639578342437744,95.0938491821289,0.7774622855776016,-20.729948801815514,-81.17680827652217,10.868032,-6.0369563,19.478834,0.0,0.0,78.11187246894838,86.908585,32.44021,51.98151,102.66295,-155.22234,1.0660095,-1.4104524,0.0,0.0,9.724347,72.55644,-83.9955,28.893188,-59.270542,1.6846647,-0.09361776,0.0,0.0
64,1.328835129737854,3.703206777572632,95.0718765258789,-0.048981070247563395,-20.649467773978216,-80.67511563428748,10.146389,-5.564321,19.884731,0.0,0.0,78.08879951095582,87.277626,32.46525,52.180325,102.50466,-155.30882,1.1049175,-1.4057568,0.0,0.0,9.381917,72.43993,-83.81536,28.991297,-59.205982,1.6624246,-0.08844255,0.0,0.0
65,1.145633339881897,3.7242672443389893,94.97847747802734,-0.5996523904430977,-20.43719101688386,-80.33353254832667,9.818216,-4.7894516,19.809353,0.0,0.0,78.03306916809083,89.336136,32.203423,50.342403,102.335464,-156.88841,1.158793,-1.381283,0.0,0.0,8.831322,72.50118,-82.658585,28.817085,-57.97558,1.6832173,-0.024058705,0.0,0.0
66,1.073742389678955,3.671595811843872,94.89519500732422,-0.7946305466155106,-20.020196274292104,-79.90406003773467,9.685182,-4.8066163,19.330362,0.0,0.0,77.9720161304474,89.695145,31.769257,50.150814,101.98938,-157.06151,1.1811141,-1.3949654,0.0,0.0,8.605001,72.365524,-82.80485,29.014349,-57.960175,1.6709713,-0.044656813,0.0,0.0
67,1.0367991924285889,3.655302047729492,94.81881713867188,-0.91428446030979,-19.518823418965418,-79.7078380273065,9.6300125,-4.8986487,18.690353,0.0,0.0,77.91531423187257,89.97867,31.520378,50.39802,101.83572,-157.30977,1.2204291,-1.417826,0.0,0.0,8.441646,72.180824,-83.16386,29.169678,-58.215073,1.6680882,-0.13178524,0.0,0.0
68,0.9924805760383606,3.712156057357788,94.8189926147461,-1.0673519946557557,-19.1945043834829,-79.96268931398177,9.882307,-4.777406,18.216915,0.0,0.0,77.90946105575563,89.681,31.152649,50.874832,102.18229,-157.09242,1.1603698,-1.4439071,0.0,0.0,8.186369,72.3694,-83.29781,28.831522,-57.620045,1.7145126,-0.14834924,0.0,0.0
69,0.910627007484436,3.7769343852996826,94.8235855102539,-1.3512712643006453,-19.04042655690223,-79.87708223766145,9.78526,-4.7039585,17.909584,0.0,0.0,77.90609339332582,89.72305,31.12478,51.090534,101.62697,-156.00143,1.1229572,-1.4559759,0.0,0.0,8.272328,72.33528,-83.132355,28.961569,-56.75066,1.7309526,-0.11808818,0.0,0.0
70,0.8821823596954346,3.82395076751709,94.87785339355469,-1.3454518702820493,-19.110093250001462,-79.80991181133182,9.7345,-4.8126454,17.950884,0.0,0.0,77.94610003089906,89.95487,31.22957,51.038197,100.976814,-155.03323,1.1289669,-1.4680214,0.0,0.0,8.250372,72.27348,-82.98388,29.076612,-56.96587,1.7315993,-0.10911564,0.0,0.0
71,0.8680559396743774,3.9174742698669434,94.93535614013672,-1.2192706493583683,-19.17465857467113,-79.70076409662705,9.690541,-4.9885545,17.991528,0.0,0.0,77.98980215644838,90.35349,31.31813,50.568493,100.31198,-154.6549,1.174888,-1.4673309,0.0,0.0,8.201811,72.275,-83.28945,29.2195,-58.05858,1.7226794,-0.109952606,0.0,0.0
72,0.8458772897720337,4.065743446350098,94.9881591796875,-1.2565458367749178,-18.996948924521288,-79.84105949498235,9.74869,-5.006187,17.51718,0.0,0.0,78.05903891181947,90.23619,31.396605,50.237236,100.05202,-153.43806,1.1592357,-1.4695007,0.0,0.0,8.460415,72.35143,-83.57219,29.404755,-58.52295,1.7181854,-0.10484029,0.0,0.0
